,",Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM"
0,"0,Ben Simmons,42:43,12,22,.545,0,0,,2,3,.667,4,8,12,10,1,0,3,3,26,+9,2/11/2020,,,,,,,,,,,,,,,"
1,"1,Tobias Harris,36:57,8,19,.421,1,6,.167,0,0,,1,11,12,5,0,0,0,0,17,+18,2/11/2020,,,,,,,,,,,,,,,"
2,"2,Josh Richardson,31:32,8,15,.533,3,5,.600,2,3,.667,1,4,5,1,0,2,1,0,21,+24,2/11/2020,,,,,,,,,,,,,,,"
3,"3,Joel Embiid,28:10,8,17,.471,2,5,.400,8,13,.615,2,7,9,2,0,1,1,4,26,+1,2/11/2020,,,,,,,,,,,,,,,"
4,"4,Furkan Korkmaz,23:24,0,5,.000,0,4,.000,0,0,,0,1,1,0,1,0,0,0,0,-9,2/11/2020,,,,,,,,,,,,,,,"
5,"5,Al Horford,27:56,3,4,.750,1,2,.500,2,2,1.000,2,4,6,3,0,2,0,1,9,+10,2/11/2020,,,,,,,,,,,,,,,"
6,"6,Matisse Thybulle,16:06,1,1,1.000,1,1,1.000,0,0,,1,3,4,1,1,1,0,1,3,-4,2/11/2020,,,,,,,,,,,,,,,"
7,"7,Alec Burks,14:20,1,4,.250,0,2,.000,0,0,,0,0,0,2,0,0,0,1,2,-1,2/11/2020,,,,,,,,,,,,,,,"
8,"8,Glenn Robinson,12:19,3,6,.500,0,1,.000,0,0,,0,1,1,1,0,1,1,1,6,0,2/11/2020,,,,,,,,,,,,,,,"
9,"9,Mike Scott,5:09,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-7,2/11/2020,,,,,,,,,,,,,,,"
10,"10,Norvel Pelle,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,2/11/2020,,,,,,,,,,,,,,,"
11,"11,Shake Milton,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,2/11/2020,,,,,,,,,,,,,,,"
12,"12,Raul Neto,240,44,95,.463,8,27,.296,14,21,.667,11,39,50,25,3,7,6,11,110,,2/11/2020,,,,,,,,,,,,,,,"
13,"13,Team Totals,2/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
14,"0,Ben Simmons,42:43,,,,,,,,,,,,,,,,,,,,,.557,.545,.000,.136,9.4,20.4,14.7,36.8,1.2,0.0,11.4,26.8,118,107,5.9"
15,"1,Tobias Harris,36:57,,,,,,,,,,,,,,,,,,,,,.447,.447,.316,.000,2.7,32.5,16.9,19.3,0.0,0.0,0.0,22.4,105,108,1.4"
16,"2,Josh Richardson,31:32,,,,,,,,,,,,,,,,,,,,,.643,.633,.333,.200,3.2,13.8,8.3,4.8,0.0,5.2,5.8,23.9,123,105,7.3"
17,"3,Joel Embiid,28:10,,,,,,,,,,,,,,,,,,,,,.572,.529,.294,.765,7.1,27.1,16.7,11.2,0.0,2.9,4.2,36.7,119,105,7.6"
18,"4,Furkan Korkmaz,23:24,,,,,,,,,,,,,,,,,,,,,.000,.000,.800,.000,0.0,4.7,2.2,0.0,2.1,0.0,0.0,9.3,0,107,-13.2"
19,"5,Al Horford,27:56,,,,,,,,,,,,,,,,,,,,,.922,.875,.500,.500,7.2,15.6,11.2,13.3,0.0,5.8,0.0,7.6,196,104,9.0"
20,"6,Matisse Thybulle,16:06,,,,,,,,,,,,,,,,,,,,,1.500,1.500,1.000,.000,6.2,20.3,13.0,7.3,3.1,5.1,0.0,2.7,256,97,10.6"
21,"7,Alec Burks,14:20,,,,,,,,,,,,,,,,,,,,,.250,.250,.500,.000,0.0,0.0,0.0,16.5,0.0,0.0,0.0,12.2,77,112,-9.7"
22,"8,Glenn Robinson,12:19,,,,,,,,,,,,,,,,,,,,,.500,.500,.167,.000,0.0,8.9,4.2,12.1,0.0,6.6,14.3,24.7,89,104,-2.8"
23,"9,Mike Scott,5:09,,,,,,,,,,,,,,,,,,,,,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,0,112,-22.2"
24,"10,Norvel Pelle,0:42,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,-6.5"
25,"11,Shake Milton,0:42,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,-10.0"
26,"12,Raul Neto,240,,,,,,,,,,,,,,,,,,,,,.528,.505,.284,.221,22.9,88.6,54.3,56.8,3.1,11.9,5.4,100.0,112.8,105.6,"
27,"13,Team Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
28,"0,Josh Richardson,29:43,2,6,.333,1,2,.500,3,4,.750,0,1,1,1,0,2,0,2,8,+11,3/11/2020,,,,,,,,,,,,,,,"
29,"1,Tobias Harris,29:27,5,14,.357,1,7,.143,4,4,1.000,1,6,7,5,0,0,0,2,15,+4,3/11/2020,,,,,,,,,,,,,,,"
30,"2,Al Horford,29:15,8,11,.727,4,6,.667,0,0,,2,8,10,6,0,2,2,1,20,+4,3/11/2020,,,,,,,,,,,,,,,"
31,"3,Shake Milton,27:31,5,11,.455,1,4,.250,1,2,.500,0,0,0,4,1,0,2,3,12,+1,3/11/2020,,,,,,,,,,,,,,,"
32,"4,Joel Embiid,26:41,9,17,.529,2,3,.667,10,12,.833,5,9,14,3,1,0,4,3,30,+10,3/11/2020,,,,,,,,,,,,,,,"
33,"5,Furkan Korkmaz,20:57,5,7,.714,3,4,.750,4,5,.800,0,4,4,2,0,0,1,2,17,+15,3/11/2020,,,,,,,,,,,,,,,"
34,"6,Alec Burks,20:29,1,5,.200,1,3,.333,4,4,1.000,1,3,4,3,2,0,3,1,7,+17,3/11/2020,,,,,,,,,,,,,,,"
35,"7,Mike Scott,18:33,2,4,.500,0,1,.000,0,1,.000,3,2,5,3,0,0,0,2,4,+14,3/11/2020,,,,,,,,,,,,,,,"
36,"8,Matisse Thybulle,17:54,4,5,.800,1,2,.500,0,0,,0,0,0,1,3,0,1,0,9,+9,3/11/2020,,,,,,,,,,,,,,,"
37,"9,Glenn Robinson,16:30,1,3,.333,0,1,.000,0,0,,1,2,3,0,0,0,0,1,2,+4,3/11/2020,,,,,,,,,,,,,,,"
38,"10,Kyle O'Quinn,3:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,+1,3/11/2020,,,,,,,,,,,,,,,"
39,"11,Norvel Pelle,240,42,83,.506,14,33,.424,26,32,.813,13,37,50,28,7,4,13,18,124,,3/11/2020,,,,,,,,,,,,,,,"
40,"12,Raul Neto,3/11/2020,Team Totals,3/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
41,"0,Josh Richardson,29:43,,,,,,,,,,,,,,,,,,,,,.515,.417,.333,.667,0.0,3.8,2.0,4.2,0.0,6.6,0.0,11.4,124,113,-4.9"
42,"1,Tobias Harris,29:27,,,,,,,,,,,,,,,,,,,,,.476,.393,.500,.286,4.2,22.7,13.9,24.1,0.0,0.0,0.0,23.3,128,116,-2.9"
43,"2,Al Horford,29:15,,,,,,,,,,,,,,,,,,,,,.909,.909,.545,.000,8.4,30.5,20.0,34.1,0.0,6.7,15.4,19.4,160,109,17.4"
44,"3,Shake Milton,27:31,,,,,,,,,,,,,,,,,,,,,.505,.500,.364,.182,0.0,0.0,0.0,21.0,1.8,0.0,14.4,22.0,104,115,-8.0"
45,"4,Joel Embiid,26:41,,,,,,,,,,,,,,,,,,,,,.673,.588,.176,.706,23.1,37.7,30.7,20.9,1.9,0.0,15.2,42.9,130,109,7.1"
46,"5,Furkan Korkmaz,20:57,,,,,,,,,,,,,,,,,,,,,.924,.929,.571,.714,0.0,21.3,11.2,15.0,0.0,0.0,9.8,21.2,166,116,9.4"
47,"6,Alec Burks,20:29,,,,,,,,,,,,,,,,,,,,,.518,.300,.600,.800,6.0,16.3,11.4,17.7,4.9,0.0,30.7,20.8,98,106,-3.5"
48,"7,Mike Scott,18:33,,,,,,,,,,,,,,,,,,,,,.450,.500,.250,.250,19.9,12.0,15.8,21.1,0.0,0.0,0.0,10.4,145,117,-1.4"
49,"8,Matisse Thybulle,17:54,,,,,,,,,,,,,,,,,,,,,.900,.900,.400,.000,0.0,0.0,0.0,8.6,8.5,0.0,16.7,14.6,139,101,11.3"
50,"9,Glenn Robinson,16:30,,,,,,,,,,,,,,,,,,,,,.333,.333,.333,.000,7.5,13.5,10.6,0.0,0.0,0.0,0.0,7.9,98,117,-10.7"
51,"10,Kyle O'Quinn,3:00,,,,,,,,,,,,,,,,,,,,,,,,,0.0,74.4,39.0,0.0,0.0,0.0,,0.0,0,106,-9.4"
52,"11,Norvel Pelle,240,,,,,,,,,,,,,,,,,,,,,.639,.590,.398,.386,33.3,86.0,61.0,66.7,7.4,8.2,11.8,100.0,130.9,111.9,"
53,"12,Raul Neto,Team Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
54,"0,Kyle O'Quinn,32:23,4,6,.667,0,0,,1,1,1.000,1,9,10,11,2,1,1,0,9,-12,8/11/2020,,,,,,,,,,,,,,,"
55,"1,Shake Milton,30:35,4,12,.333,0,2,.000,0,0,,1,1,2,7,0,0,0,3,8,-7,8/11/2020,,,,,,,,,,,,,,,"
56,"2,Matisse Thybulle,28:53,3,4,.750,1,2,.500,0,0,,1,1,2,0,0,1,0,5,7,-9,8/11/2020,,,,,,,,,,,,,,,"
57,"3,Alec Burks,27:42,9,17,.529,2,5,.400,3,4,.750,0,2,2,4,1,0,0,1,23,-2,8/11/2020,,,,,,,,,,,,,,,"
58,"4,Mike Scott,22:07,7,12,.583,3,4,.750,0,0,,2,2,4,1,1,0,1,1,17,+3,8/11/2020,,,,,,,,,,,,,,,"
59,"5,Furkan Korkmaz,31:30,3,11,.273,3,7,.429,3,4,.750,0,0,0,0,1,0,1,2,12,-16,8/11/2020,,,,,,,,,,,,,,,"
60,"6,Glenn Robinson,25:25,5,9,.556,3,6,.500,2,3,.667,3,4,7,0,0,0,1,2,15,-7,8/11/2020,,,,,,,,,,,,,,,"
61,"7,Raul Neto,25:14,9,18,.500,3,7,.429,1,2,.500,0,2,2,4,0,0,2,1,22,-11,8/11/2020,,,,,,,,,,,,,,,"
62,"8,Norvel Pelle,16:11,2,4,.500,0,0,,0,0,,3,2,5,1,0,2,2,5,4,-4,8/11/2020,,,,,,,,,,,,,,,"
63,"9,Al Horford,240,46,93,.495,15,33,.455,10,14,.714,11,23,34,28,5,4,8,20,117,,8/11/2020,,,,,,,,,,,,,,,"
